filename,text
./data/Client2\sample-001000.mp3,there was a full moon and the boy told the englishman the story of his life
./data/Client2\sample-001001.mp3,what would i have to say
./data/Client2\sample-001002.mp3,the boy thought about the crystal merchant
./data/Client2\sample-001003.mp3,about eleven i walked back to my home in maybury because nothing seemed to be happening
./data/Client2\sample-001004.mp3,wasting my time listening to this mad hatter
./data/Client2\sample-001005.mp3,everything'll be taken care of
./data/Client2\sample-001006.mp3,you can't trust anybody in this crazy world
./data/Client2\sample-001007.mp3,am i going to find my treasure he asked
./data/Client2\sample-001008.mp3,at once he connected the two incidents
./data/Client2\sample-001009.mp3,i've had this shop for thirty years
./data/Client2\sample-001010.mp3,besides that there was a heap of bicycles
./data/Client2\sample-001011.mp3,mister kristen has something to say to us
./data/Client2\sample-001012.mp3,i've already told you
./data/Client2\sample-001013.mp3,when i had my sheep i was happy and i made those around me happy
./data/Client2\sample-001014.mp3,i'll always let you down
./data/Client2\sample-001015.mp3,at the highest point in tarifa there is an old fort built by the moors
./data/Client2\sample-001016.mp3,and the odor of the animals became a bit more tolerable
./data/Client2\sample-001017.mp3,but i sort of like him
./data/Client2\sample-001018.mp3,it was only when i got this close to it that the strangeness of it was at all evident to me
./data/Client2\sample-001019.mp3,there is only one way to learn the alchemist answered
./data/Client2\sample-001020.mp3,i never had any such idea
./data/Client2\sample-001021.mp3,many of them had been right about what they said while some had been wrong
./data/Client2\sample-001022.mp3,it was rising slowly and painfully out of the cylinder
./data/Client2\sample-001023.mp3,why was it that he wanted the boy to serve as his instrument
./data/Client2\sample-001024.mp3,he remembered something his grandfather had once told him that butterflies were a good omen
./data/Client2\sample-001025.mp3,everything on earth is being continuously transformed because the earth is alive
./data/Client2\sample-001026.mp3,sadly my dream of becoming a squirrel whisperer may never happen
./data/Client2\sample-001027.mp3,sometimes i appear in the form of a solution or a good idea
./data/Client2\sample-001028.mp3,worked hard just to have food and water like the sheep
./data/Client2\sample-001029.mp3,as i watched the planet seemed to grow larger and smaller
./data/Client2\sample-001030.mp3,i have to separate out the sulfur
./data/Client2\sample-001031.mp3,she wasn't her type
./data/Client2\sample-001032.mp3,it was a cobra whose venom could kill a person in minutes
./data/Client2\sample-001033.mp3,i saw astonishment and horror on the faces of the people around me
./data/Client2\sample-001034.mp3,we took all the chances
./data/Client2\sample-001035.mp3,he didn't need to demonstrate his science and art to anyone
./data/Client2\sample-001036.mp3,all the words you've got
./data/Client2\sample-001037.mp3,if i could i'd write a huge encyclopedia just about the words luck and coincidence
./data/Client2\sample-001038.mp3,the genies were the spirits of good and evil
./data/Client2\sample-001039.mp3,but i'm liable to get into a jam
./data/Client2\sample-001040.mp3,there was very little talking
./data/Client2\sample-001041.mp3,the crowd swayed a little as i elbowed my way through
./data/Client2\sample-001042.mp3,the two men hurried back and found the cylinder still lying in the same position
./data/Client2\sample-001043.mp3,i can't do that
./data/Client2\sample-001044.mp3,what is it about
./data/Client2\sample-001045.mp3,i think somebody stole one of his crown jewels
